time,open,high,low,close,volume
6/24/2025,105387,106217,104698,106000,73785073586
6/23/2025,100724,105970,99996.04,105509,70590435542
6/22/2025,102538,103160,98422.57,100827,55296120691
6/21/2025,103252,103994,101150,101572,43364642682
6/20/2025,104583,106437,102463,103284,38074191348
6/19/2025,104849,105194,103960,104670,43098086128
6/18/2025,104583,105535,103674,104708,55599543167
6/17/2025,106593,107653,103554,104637,58097218434
6/16/2025,105600,108784,105103,106936,39261478515
6/15/2025,105364,106065,104546,105498,28514944725
6/14/2025,106020,106020,104384,105430,45347336960
6/13/2025,104938,106074,102951,106005,75605593353
6/12/2025,108590,108756,105765,105868,50839129285
6/11/2025,110237,110329,108160,108682,50648708670
6/10/2025,110185,110308,108460,110229,61595592779
6/9/2025,105725,110347,105345,110193,41728015433
6/8/2025,105512,106431,105001,105661,29825149296
6/7/2025,104267,105943,104007,105603,42502836345
6/6/2025,101442,105206,101322,104302,71765837767
6/5/2025,104763,105885,100465,101594,46550352401
6/4/2025,105440,105953,104362,104731,45847119172
6/3/2025,105782,106709,104900,105433,48502426330
6/2/2025,105628,105909,103770,105843,41036672277
6/1/2025,104537,105814,103795,105631,32056311614
5/31/2025,104041,104900,103195,104703,52475030430
5/30/2025,105696,106275,103739,104015,66352202698
5/29/2025,107620,108887,105485,105689,57796066880
5/28/2025,108870,109205,106923,107773,56853679004
5/27/2025,109352,110662,107966,108957,60988928308
5/26/2025,108935,110266,108806,109409,58086118230
5/25/2025,107943,109166,106700,108862,49701895674
5/24/2025,106905,109409,106905,107781,70585183307
5/23/2025,111525,111746,107020,107190,73702308031
5/22/2025,109833,111924,109346,111666,1.11E+11
5/21/2025,106905,109940,106104,109625,75066735086
5/20/2025,105679,107252,104236,106669,65882025303
5/19/2025,106570,106850,102170,105600,97659528668
5/18/2025,103206,106394,103140,106394,39944096121
5/17/2025,103470,103670,102697,103181,43871702798
5/16/2025,103822,104448,103143,103458,58092167347
5/15/2025,103551,104095,101547,103715,50581733564
5/14/2025,104015,104242,102769,103582,56588030392
5/13/2025,102613,104947,101596,104227,69898356203
5/12/2025,104193,105579,100844,102860,64739179229
5/11/2025,104866,104866,103389,103960,58238322698
5/10/2025,103078,104945,102866,104739,60326425794
5/9/2025,103186,104124,102366,102976,1.47E+11
5/8/2025,97072.6,103730,96917.59,103079,1.13E+11
5/7/2025,96758.76,97582.48,95830.94,97032.32,66944324988
5/6/2025,94700.57,96887.86,93436.78,96824.4,41226240723
5/5/2025,94264.55,95188.98,93602.93,94732.44,40484381114
5/4/2025,95904.74,96283.3,94183.3,94316.57,30006728723
5/3/2025,96893.87,96893.87,95855.95,95896.3,39272722871
5/2/2025,96531.92,97754.32,96351.87,96834.72,59617739654
5/1/2025,94238.06,97408.73,94238.06,96452.41,73100608322
4/30/2025,94156.19,95176.71,93091.66,94217.39,51110036352
4/29/2025,94953.95,95440.02,93816.45,94294.56,53275148518
4/28/2025,93675.97,95512.84,92873.97,95045.98,47019637241
4/27/2025,94608.66,95118.88,93699.99,93762.21,33903052084
4/26/2025,94769.97,95159.98,93958.35,94622.6,45320444896
4/25/2025,93867.96,95538.41,92992.34,94718.46,57823015672
4/24/2025,93577.44,93989,91685.59,93823.23,59781596982
4/23/2025,93642.39,94383.81,92155.5,93565.02,79929153065
4/22/2025,87556.88,93729.04,87306.04,93375.16,61394088008
4/21/2025,85190.58,88358.48,85190.58,87525.71,46101744165
4/20/2025,85059.77,85320.15,84018.53,85095.42,23639652101
4/19/2025,84484.98,85510.04,84368.6,85127.56,22003243114
4/18/2025,84892.79,85109.28,84344.03,84464.64,30940394080
4/17/2025,84081.07,85426.94,83814.62,84931.22,43303482367
4/16/2025,83652.14,85332.95,83163.1,84051.96,45342365089
4/15/2025,84521.75,86413.41,83632.78,83677.65,57960999450
4/14/2025,83779.1,85756,83773.4,84495.07,70255422114
4/13/2025,85285.14,85780.08,83171.6,83693.1,60526622124
4/12/2025,83359.29,85786.19,82810.94,85288.46,69354362438
4/11/2025,79575.97,84102.66,79006.6,83520.03,68172551563
