time,pattern
2024-07-01,hammer
2024-07-02,bearish_engulfing
2024-07-06,bullish_engulfing
2024-07-12,bullish_engulfing
2024-07-16,hammer
2024-07-19,bullish_engulfing
2024-07-20,hammer
2024-07-27,hammer
2024-08-02,bearish_engulfing
2024-08-11,bearish_engulfing
2024-08-16,bullish_engulfing
2024-08-17,hammer
2024-08-18,bearish_engulfing
2024-08-19,bullish_engulfing
2024-08-24,doji
2024-08-26,bearish_engulfing
2024-09-02,bullish_engulfing
2024-09-05,bearish_engulfing
2024-09-10,hammer
2024-09-20,hammer
2024-09-26,bullish_engulfing
2024-09-27,hammer
2024-09-28,hammer
2024-10-06,bullish_engulfing
2024-10-12,hammer
2024-10-15,hammer
2024-10-20,bullish_engulfing
2024-10-21,bearish_engulfing
2024-10-22,doji
2024-10-23,bearish_engulfing
2024-10-24,bullish_engulfing
2024-11-07,hammer
2024-11-09,hammer
2024-11-12,doji
2024-11-13,bullish_engulfing
2024-11-22,hammer
2024-11-27,bullish_engulfing
2024-11-29,bullish_engulfing
2024-12-06,bullish_engulfing
2024-12-14,doji
2024-12-16,hammer
2024-12-17,doji
2024-12-18,bearish_engulfing
2024-12-20,doji
2024-12-21,bearish_engulfing
2024-12-24,bullish_engulfing
2024-12-25,hammer
2024-12-26,bearish_engulfing
2024-12-29,bearish_engulfing
2024-12-31,bullish_engulfing
2025-01-03,hammer
2025-01-04,doji
2025-01-17,bullish_engulfing
2025-01-18,hammer
2025-01-25,doji
2025-01-31,bearish_engulfing
2025-02-03,bullish_engulfing
2025-02-09,doji
2025-02-11,bearish_engulfing
2025-02-15,hammer
2025-02-16,bearish_engulfing
2025-02-21,bearish_engulfing
2025-03-01,bullish_engulfing
2025-03-12,hammer
2025-03-14,bullish_engulfing
2025-03-15,hammer
2025-03-19,bullish_engulfing
2025-03-25,hammer
2025-04-08,bearish_engulfing
2025-04-09,bullish_engulfing
2025-04-11,bullish_engulfing
2025-04-15,bearish_engulfing
2025-04-20,doji
2025-04-23,doji
2025-04-28,bullish_engulfing
2025-04-30,doji
2025-05-02,hammer
2025-05-03,bearish_engulfing
2025-05-07,hammer
2025-05-13,bullish_engulfing
2025-05-16,bearish_engulfing
2025-05-26,hammer
2025-06-02,hammer
2025-06-07,hammer
2025-06-08,hammer
2025-06-10,doji
2025-06-11,bearish_engulfing
2025-06-23,bullish_engulfing
2025-06-24,hammer
